STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
        691;19200501;19200531;    5;   -999;    55.5;-999;    7.9;eor
        691;19200601;19200630;    5;   -999;    29.4;-999;    9.5;eor
        691;19200701;19200731;    5;   -999;   106.0;-999;   31.2;eor
        691;19200801;19200831;    5;   -999;    86.6;-999;   30.3;eor
        691;19200901;19200930;    5;   -999;    43.3;-999;   15.2;eor
        691;19201001;19201031;    5;   -999;    18.6;-999;   12.2;eor
        691;19201101;19201130;    5;   -999;    10.0;-999;    4.7;eor
        691;19201201;19201231;    5;   -999;    50.9;-999;   11.0;eor
        691;19210101;19210131;    5;   -999;   102.4;-999;   16.5;eor
        691;19210201;19210228;    5;   -999;    23.4;-999;   12.0;eor
        691;19210301;19210331;    5;   -999;    24.7;-999;    6.4;eor
        691;19210401;19210430;    5;   -999;    27.1;-999;    6.0;eor
        691;19210501;19210531;    5;   -999;    22.4;-999;    8.3;eor
        691;19210601;19210630;    5;   -999;    74.4;-999;   20.8;eor
        691;19210701;19210731;    5;   -999;    30.7;-999;   13.9;eor
        691;19210801;19210831;    5;   -999;    31.3;-999;    9.9;eor
        691;19210901;19210930;    5;   -999;    21.9;-999;    5.4;eor
        691;19211001;19211031;    5;   -999;    36.7;-999;   13.2;eor
        691;19211101;19211130;    5;   -999;    39.2;-999;   16.0;eor
        691;19211201;19211231;    5;   -999;    73.1;-999;   13.6;eor
        691;19220101;19220131;    5;   -999;    57.8;-999;   13.8;eor
        691;19220201;19220228;    5;   -999;    31.6;-999;    7.1;eor
        691;19220301;19220331;    5;   -999;    46.6;-999;   14.0;eor
        691;19220401;19220430;    5;   -999;    54.0;-999;   12.0;eor
        691;19220501;19220531;    5;   -999;    39.5;-999;   14.4;eor
        691;19220601;19220630;    5;   -999;    61.6;-999;   12.3;eor
        691;19220701;19220731;    5;   -999;    95.8;-999;   31.2;eor
        691;19220801;19220831;    5;   -999;    56.1;-999;   13.2;eor
        691;19220901;19220930;    5;   -999;    48.3;-999;   10.4;eor
        691;19221001;19221031;    5;   -999;    40.0;-999;   16.2;eor
        691;19221101;19221130;    5;   -999;    67.2;-999;    9.7;eor
        691;19221201;19221231;    5;   -999;    51.4;-999;    9.3;eor
        691;19230101;19230131;    5;   -999;    66.8;-999;   13.4;eor
        691;19230201;19230228;    5;   -999;    37.6;-999;    9.4;eor
